Deal Registration: Deal Registration Name,Deal Registration: Created Date,Opportunity Owner,Inside Sales Rep,Sales Territory,Account Name,Billing Country,Partner Account,Opportunity Type,Stage,Amount (converted),Close Date
DR-2641,2026-07-19,Channel Queue,,DACH,Queued Account 027,Germany,Softcat,New Business,1 - Submitted,,
DR-2152,2026-02-23,Julien Marchand,,SEMEA,Account 152 AB,Israel,TD Synnex,Migration,3 - Discovery,86000,2026-05-12
DR-2301,2026-04-12,Tom Whitfield,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 301 Ltd,Finland,TD Synnex,Upsell,2 - Approved,"$202,000",2026-06-11
DR-1283,2025-01-25,Aoife Brennan,Mollie Shaw,UKI & Nordics,Account 083 Holdings,Sweden,Northbridge Data,New Business,Rejected - Duplicate,"$164,000",2025-07-01
DR-2369,05 May 2026,Callum Reid,Priya Raman,Nordics,Account 369 GmbH,Sweden,Bechtle AG,Renewal,0 - Closed Lost,157000,2026-09-17
DR-1029,13/09/2024,Sigrid Halvorsen,Dan Eriksen,UKI/Nordics,Account 229 Holdings,Finland,Softcat,New Business,Expired,"$19,000",2025-01-04
DR-2399,10 May 2026,Sofia Almeida,Chiara Bruno,SEMEA,Account 399 AB,Greece,Softcat,Add-On,Rejected - Duplicate,"EUR 98,000.00",2026-10-27
DR-1546,10/04/2025,Katharina Vogel,Tobias Frank,dach pod,Account 346 SpA,Germany,Softcat,Competitive Migration,Rejected - Duplicate,"$134,000",2025-06-23
DR-1660,2025-06-05,Yannis Papadakis,Chiara Bruno,Southern Europe,Account 060 Group,France,Ingram Micro,New Business,7 - Closed Won,,2025-12-17
DR-2242,2026-03-19,Marco Ferrari,,Iberia,Account 242 Ltd,Israel,Cancom,Existing Business - Renewal,6 - Negotiation,"EUR 161,000.00",2026-05-26
DR-1611,2025-05-11,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 011 Holdings,Switzerland,Ingram Micro,New Business,0 - Closed Lost,"$205,000",2025-07-20
DR-2452,04/06/2026,Aoife Brennan,Dan Eriksen,UKI & Nordics,Account 052 SpA,Finland,SHI EMEA,Migration,2 - Approved,"$10,000",2026-07-02
DR-1360,08 Feb 2025,Julien Marchand,Paulo Neves,Southern Europe,Account 160 SpA,Italy,Northbridge Data,New Business,0 - Closed Lost,"$176,000",2025-04-02
DR-1787,2025-08-27,Katharina Vogel,Tobias Frank,dach pod,Account 187 Holdings,Switzerland,Cancom,New Business,7 - Closed Won,231000,2026-02-06
DR-1342,24 Feb 2025,Niamh O'Connor,Dan Eriksen,EMEA - Other,Account 142 GmbH,United Kingdom,Cancom,Existing Business - Renewal,7 - Closed Won,"$165,000",2025-06-15
DR-1066,02/09/2024,Lukas Brandt,Tobias Frank,dach pod,Account 266 GmbH,Austria,SHI EMEA,New Business,7 - Closed Won,35000,2024-10-12
DR-1952,20/11/2025,Tom Whitfield,Mollie Shaw,,Account 352 AB,Finland,Softcat,Upsell,2 - Approved,"$231,000",2026-05-11
DR-1569,2025-05-27,Aoife Brennan,Mollie Shaw,UKI/Nordics,Account 369 AB,United Kingdom,Arrow ECS,Existing Business - Renewal,Rejected - Duplicate,136000,2025-08-26
DR-2070,2026-01-01,Sigrid Halvorsen,,Nordics,Account 070 Ltd,Denmark,TD Synnex,Add-On,0 - Closed Lost,"EUR 129,000.00",2026-03-01
DR-1509,23/04/2025,Yannis Papadakis,Chiara Bruno,Iberia,Account 309 GmbH,France,Bechtle AG,New Business,Rejected - Duplicate,"$86,000",2025-09-01
DR-2112,2026-01-13,Lukas Brandt,Lena Wirth,dach pod,Account 112 Ltd,Austria,TD Synnex,Renewal,7 - Closed Won,"EUR 43,000.00",2026-06-12
DR-2620,2025-12-09,Channel Queue,,UKI & Nordics,Queued Account 006,Germany,TD Synnex,New Business,1 - Submitted,,
DR-2205,2026-03-20,Tom Whitfield,Dan Eriksen,EMEA - UKI & Nordics - Commercial,Account 205 Group,Norway,SHI EMEA,New Logo,,"EUR 52,000.00",2026-05-30
DR-2028,13 Dec 2025,Aoife Brennan,Mollie Shaw,UKI/Nordics,Account 028 Ltd,Norway,SHI EMEA,Renewal,1 - Submitted,240000,2026-01-26
DR-1141,2024-10-09,Katharina Vogel,Lena Wirth,DACH,Account 341 GmbH,Germany,Cancom,New Business,7 - Closed Won,"$45,000",2025-04-21
DR-2483,23/06/2026,Sofia Almeida,,Iberia,Account 083 Ltd,Israel,Northbridge Data,Existing Business - Renewal,7 - Closed Won,"$233,000",2026-11-12
DR-1420,2025-03-28,Niamh O'Connor,Mollie Shaw,UKI & Nordics,Account 220 GmbH,Finland,Cancom,Renewal,7 - Closed Won,"EUR 225,000.00",2025-05-23
DR-2022,03 Dec 2025,Aoife Brennan,Priya Raman,UKI & Nordics,Account 022 SpA,United Kingdom,Cancom,Add-On,2 - Approved,"EUR 146,000.00",2026-03-24
DR-1195,2024-11-02,Lukas Brandt,,DACH,Account 395 AB,Austria,Econocom,Renewal,7 - Closed Won,"$54,000",2025-02-02
DR-1467,2025-03-20,Lukas Brandt,,dach pod,Account 267 AB,Switzerland,TD Synnex,Add-On,7 - Closed Won,181000,2025-05-09
DR-1087,2024-10-06,Tom Whitfield,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 287 GmbH,United Kingdom,Softcat,Upsell,,75000,2025-01-16
DR-2328,2026-04-26,Lukas Brandt,Tobias Frank,dach pod,Account 328 AB,Germany,TD Synnex,Existing Business - Renewal,4 - Technical Validation,"EUR 199,000.00",2026-08-19
DR-2310,2026-04-17,Sofia Almeida,,Southern Europe,Account 310 Group,Greece,Computacenter,Migration,4 - Technical Validation,212000,2026-08-23
DR-2651,2025-03-17,Channel Queue,,UKI & Nordics,Queued Account 037,Germany,Bechtle AG,New Business,1 - Submitted,,
DR-1157,2024-11-20,Tom Whitfield,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 357 Ltd,Finland,Econocom,Add-On,0 - Closed Lost,"EUR 27,000.00",2025-05-26
DR-1024,23/09/2024,Tom Whitfield,,UKI/Nordics,Account 224 GmbH,Sweden,Bechtle AG,New Business,7 - Closed Won,"$193,000",2025-03-04
DR-1724,20 Jul 2025,Tom Whitfield,Dan Eriksen,UKI/Nordics,Account 124 SAS,Ireland,Northbridge Data,New Business,Expired,198000,2025-10-19
DR-2087,2026-01-04,Yannis Papadakis,,EMEA - Southern Europe,Account 087 Group,Spain,Arrow ECS,New Logo,1 - Submitted,240000,2026-07-20
DR-2039,08 Dec 2025,Julien Marchand,,Iberia,Account 039 Ltd,Portugal,Econocom,Existing Business - Renewal,7 - Closed Won,17000,2026-03-19
DR-2566,2026-07-08,Lukas Brandt,Tobias Frank,EMEA - DACH - Enterprise,Account 166 Group,Switzerland,Econocom,Existing Business - Add-On,3 - Discovery,"EUR 125,000.00",2026-10-29
DR-1643,2025-06-15,Sigrid Halvorsen,,Nordics,Account 043 Group,Sweden,TD Synnex,Existing Business - Renewal,0 - Closed Lost,"EUR 174,000.00",2025-11-04
DR-1033,08/09/2024,Yannis Papadakis,Paulo Neves,SEMEA,Account 233 GmbH,Portugal,Econocom,New Business,7 - Closed Won,"$26,000",2024-12-03
DR-1831,2025-09-25,Sofia Almeida,Paulo Neves,Iberia,Account 231 GmbH,Portugal,Bechtle AG,New Business,4 - Technical Validation,"$137,000",2025-11-28
DR-1515,13/04/2025,Elena Castells,Paulo Neves,Iberia,Account 315 Holdings,Israel,SHI EMEA,Existing Business - Renewal,,35000,2025-09-30
DR-1586,2025-05-13,Julien Marchand,,Iberia,Account 386 Group,Italy,Cancom,Upsell,7 - Closed Won,"$158,000",2025-07-16
DR-1415,2025-03-13,Aoife Brennan,Priya Raman,UKI/Nordics,Account 215 AB,Norway,Northbridge Data,Existing Business - Add-On,7 - Closed Won,"$78,000",2025-05-29
DR-2445,09/06/2026,Erik Lindqvist,,EMEA - Other,Account 045 Holdings,Denmark,Computacenter,New Logo,5 - Proposal,,2026-09-06
DR-2384,04 May 2026,Erik Lindqvist,Dan Eriksen,EMEA - Other,Account 384 GmbH,Ireland,Arrow ECS,Add-On,1 - Submitted,"EUR 22,000.00",2026-11-07
DR-2143,2026-02-16,Tom Whitfield,Mollie Shaw,Nordics,Account 143 AB,United Kingdom,Computacenter,New Logo,7 - Closed Won,"EUR 112,000.00",2026-06-12
DR-1682,2025-06-02,Lukas Brandt,Lena Wirth,EMEA - DACH - Enterprise,Account 082 Ltd,Switzerland,Computacenter,Existing Business - Add-On,7 - Closed Won,"EUR 196,000.00",2025-08-23
DR-1933,2025-10-07,Katharina Vogel,,DACH,Account 333 Group,Germany,Cancom,New Business,7 - Closed Won,,2025-11-23
DR-2218,2026-03-13,Aoife Brennan,Priya Raman,Nordics,Account 218 SpA,Finland,Bechtle AG,New Logo,Rejected - Duplicate,"EUR 192,000.00",2026-06-26
DR-2081,2026-01-15,Tom Whitfield,,Nordics,Account 081 GmbH,Finland,Ingram Micro,Existing Business - Renewal,1 - Submitted,"EUR 230,000.00",2026-04-06
DR-2146,2026-02-08,Sigrid Halvorsen,,EMEA - UKI & Nordics - Commercial,Account 146 SAS,Sweden,Softcat,New Logo,0 - Closed Lost,"EUR 219,000.00",2026-06-01
DR-2088,2026-01-18,Elena Castells,Chiara Bruno,SEMEA,Account 088 Group,France,Arrow ECS,Existing Business - Renewal,4 - Technical Validation,67000,2026-02-12
DR-2367,12 May 2026,Sigrid Halvorsen,Mollie Shaw,Nordics,Account 367 Ltd,Ireland,SHI EMEA,New Logo,4 - Technical Validation,"$49,000",2026-07-14
DR-2176,2026-02-16,Katharina Vogel,,DACH,Account 176 Group,Austria,Northbridge Data,Existing Business - Renewal,7 - Closed Won,"$70,000",2026-08-25
DR-1998,28/11/2025,Lukas Brandt,,DACH,Account 398 AB,Germany,Cancom,New Logo,7 - Closed Won,"EUR 148,000.00",2026-02-09
DR-1663,2025-06-19,Marco Ferrari,Chiara Bruno,EMEA - Southern Europe,Account 063 GmbH,Spain,Softcat,Upsell,0 - Closed Lost,,2025-08-07
DR-2127,2026-02-23,Aoife Brennan,,UKI/Nordics,Account 127 Group,Norway,Computacenter,New Logo,5 - Proposal,"$129,000",2026-04-28
DR-1430,2025-03-05,Elena Castells,Paulo Neves,EMEA - Southern Europe,Account 230 Holdings,Israel,Arrow ECS,New Business,0 - Closed Lost,"$216,000",2025-06-28
DR-1571,2025-05-11,Aoife Brennan,Mollie Shaw,UKI & Nordics,Account 371 Group,United Kingdom,Econocom,Competitive Migration,7 - Closed Won,"EUR 151,000.00",2025-06-24
DR-1608,2025-05-21,Lukas Brandt,,dach pod,Account 008 Ltd,Germany,Northbridge Data,New Business,Rejected - Duplicate,"EUR 153,000.00",2025-09-27
DR-1379,01 Feb 2025,Katharina Vogel,Lena Wirth,EMEA - DACH - Enterprise,Account 179 AB,Austria,Northbridge Data,Existing Business - Renewal,Rejected - Duplicate,"$138,000",2025-04-22
DR-1138,2024-10-07,Lukas Brandt,,dach pod,Account 338 Holdings,Switzerland,Arrow ECS,Existing Business - Renewal,Rejected - Duplicate,,2025-01-22
DR-1976,01/11/2025,Elena Castells,Paulo Neves,Iberia,Account 376 AB,Italy,SHI EMEA,New Logo,7 - Closed Won,51000,2026-04-25
DR-1007,24/09/2024,Aoife Brennan,Dan Eriksen,UKI & Nordics,Account 207 GmbH,Denmark,Softcat,New Business,7 - Closed Won,"$100,000",2024-11-09
DR-1445,2025-03-21,Yannis Papadakis,Chiara Bruno,Southern Europe,Account 245 Group,France,Ingram Micro,Add-On,7 - Closed Won,"$120,000",2025-04-23
DR-2235,2026-03-16,Sofia Almeida,Paulo Neves,Southern Europe,Account 235 SAS,Israel,Econocom,Existing Business - Renewal,4 - Technical Validation,"$120,000",2026-04-10
DR-1027,05/09/2024,Sigrid Halvorsen,Dan Eriksen,,Account 227 SAS,Ireland,Arrow ECS,New Business,0 - Closed Lost,194000,2025-02-06
DR-1700,2025-06-09,Lukas Brandt,Tobias Frank,DACH,Account 100 GmbH,Switzerland,Ingram Micro,Existing Business - Add-On,7 - Closed Won,143000,2025-10-14
DR-1523,02/04/2025,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 323 SpA,Austria,Arrow ECS,Upsell,0 - Closed Lost,"EUR 60,000.00",2025-05-16
DR-1983,04/11/2025,Katharina Vogel,Tobias Frank,EMEA - Other,Account 383 Ltd,Germany,Arrow ECS,New Logo,4 - Technical Validation,"EUR 82,000.00",2026-05-20
DR-1640,2025-06-15,Tom Whitfield,Mollie Shaw,Nordics,Account 040 SAS,Finland,Arrow ECS,New Business,0 - Closed Lost,15000,2025-09-04
DR-2550,2026-07-18,Julien Marchand,,Southern Europe,Account 150 Ltd,Italy,Cancom,Upsell,2 - Approved,"$240,000",2026-10-04
DR-1821,2025-09-27,Aoife Brennan,Priya Raman,Nordics,Account 221 Ltd,Ireland,Arrow ECS,New Business,0 - Closed Lost,,2026-03-09
DR-1321,2025-01-19,Stefan Huber,Tobias Frank,DACH,Account 121 Ltd,Austria,Arrow ECS,New Business,0 - Closed Lost,81000,2025-04-21
DR-1986,02/11/2025,Katharina Vogel,Lena Wirth,DACH,Account 386 AB,Austria,Cancom,Upsell,2 - Approved,"$57,000",2026-04-17
DR-2513,21/06/2026,Lukas Brandt,Tobias Frank,DACH,Account 113 AB,Austria,Computacenter,Existing Business - Add-On,1 - Submitted,"$55,000",2026-12-04
DR-1059,28/09/2024,Stefan Huber,,DACH,Account 259 AB,Austria,Arrow ECS,New Business,7 - Closed Won,"EUR 149,000.00",2025-02-24
DR-2350,2026-04-05,Lukas Brandt,Tobias Frank,dach pod,Account 350 Group,Germany,Arrow ECS,Upsell,6 - Negotiation,"EUR 63,000.00",2026-06-10
DR-1204,2024-11-20,Lukas Brandt,Lena Wirth,dach pod,Account 004 SpA,Germany,Cancom,New Business,0 - Closed Lost,"EUR 160,000.00",2025-01-05
DR-2387,17 May 2026,Callum Reid,Mollie Shaw,UKI & Nordics,Account 387 SAS,Denmark,Bechtle AG,Upsell,Expired,218000,2026-11-13
DR-2668,2024-04-28,Lukas Brandt,Tobias Frank,DACH,Old Account 014,Germany,Arrow ECS,New Business,7 - Closed Won,120000,2024-09-30
DR-2472,18/06/2026,Sigrid Halvorsen,,UKI/Nordics,Account 072 Ltd,Norway,Econocom,Existing Business - Add-On,6 - Negotiation,173000,2026-11-10
DR-1673,2025-06-20,Julien Marchand,Paulo Neves,Iberia,Account 073 SAS,Portugal,TD Synnex,New Business,Expired,"$169,000",2025-08-09
DR-1064,18/09/2024,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 264 GmbH,Germany,Econocom,New Business,0 - Closed Lost,"EUR 29,000.00",2024-10-16
DR-1595,2025-05-24,Elena Castells,Chiara Bruno,EMEA - Southern Europe,Account 395 GmbH,Portugal,TD Synnex,Add-On,7 - Closed Won,"$202,000",2025-11-03
DR-2150,2026-02-25,Elena Castells,,Southern Europe,Account 150 SAS,Portugal,Bechtle AG,New Logo,0 - Closed Lost,"EUR 40,000.00",2026-04-21
DR-1109,2024-10-11,Aoife Brennan,,Nordics,Account 309 Ltd,Ireland,Softcat,Existing Business - Renewal,0 - Closed Lost,"$83,000",2024-11-19
DR-1516,10/04/2025,Sofia Almeida,Chiara Bruno,Iberia,Account 316 Group,Italy,Softcat,Renewal,7 - Closed Won,"$208,000",2025-05-26
DR-1130,2024-10-28,Marco Ferrari,,Southern Europe,Account 330 GmbH,Portugal,Ingram Micro,Add-On,7 - Closed Won,"EUR 167,000.00",2024-11-24
DR-2341,2026-04-17,Lukas Brandt,,EMEA - DACH - Enterprise,Account 341 SpA,Switzerland,Cancom,Existing Business - Add-On,3 - Discovery,117000,2026-07-07
DR-1011,18/09/2024,Aoife Brennan,,EMEA - UKI & Nordics - Commercial,Account 211 SpA,United Kingdom,Bechtle AG,New Business,7 - Closed Won,"EUR 164,000.00",2024-11-08
DR-1524,15/04/2025,Lukas Brandt,,dach pod,Account 324 Holdings,Austria,SHI EMEA,Existing Business - Renewal,7 - Closed Won,"EUR 27,000.00",2025-10-09
DR-1671,2025-06-16,Marco Ferrari,Paulo Neves,EMEA - Southern Europe,Account 071 Holdings,Spain,Ingram Micro,Renewal,0 - Closed Lost,157000,2025-09-02
DR-1456,2025-03-19,Lukas Brandt,Tobias Frank,DACH,Account 256 SAS,Germany,TD Synnex,Renewal,0 - Closed Lost,43000,2025-07-24
DR-2231,2026-03-01,Yannis Papadakis,Chiara Bruno,EMEA - Southern Europe,Account 231 SAS,Israel,Computacenter,New Logo,3 - Discovery,"$235,000",2026-06-09
DR-1810,2025-09-24,Callum Reid,Mollie Shaw,Nordics,Account 210 Holdings,United Kingdom,SHI EMEA,New Business,Rejected - Duplicate,"$137,000",2025-12-28
DR-2149,2026-02-15,Sofia Almeida,Chiara Bruno,Southern Europe,Account 149 AB,Portugal,Arrow ECS,Renewal,Rejected - Duplicate,"EUR 170,000.00",2026-06-30
DR-1923,2025-10-23,Katharina Vogel,Tobias Frank,dach pod,Account 323 Ltd,Austria,Softcat,New Business,5 - Proposal,"EUR 65,000.00",2026-04-07
DR-2401,22 May 2026,Marco Ferrari,Chiara Bruno,Iberia,Account 001 AB,Italy,Cancom,Existing Business - Renewal,3 - Discovery,66000,2026-12-07
DR-1947,2025-10-26,Jonas Richter,Lena Wirth,EMEA - DACH - Enterprise,Account 347 GmbH,Switzerland,Northbridge Data,Add-On,0 - Closed Lost,13000,2026-02-07
DR-1199,2024-11-23,Katharina Vogel,Tobias Frank,DACH,Account 399 SAS,Germany,TD Synnex,Existing Business - Renewal,0 - Closed Lost,"$224,000",2025-02-19
DR-1146,2024-10-15,Katharina Vogel,Lena Wirth,EMEA - DACH - Enterprise,Account 346 SAS,Switzerland,TD Synnex,Add-On,,103000,2025-04-24
DR-1684,2025-06-25,Katharina Vogel,Lena Wirth,DACH,Account 084 Holdings,Switzerland,Computacenter,Competitive Migration,7 - Closed Won,"$66,000",2025-11-12
DR-2499,24/06/2026,Lukas Brandt,Lena Wirth,DACH,Account 099 Group,Austria,Softcat,Migration,2 - Approved,27000,2026-11-07
DR-1097,2024-10-28,Tom Whitfield,,EMEA - UKI & Nordics - Commercial,Account 297 Ltd,Norway,Arrow ECS,New Business,Rejected - Duplicate,"$224,000",2025-05-16
DR-2064,2026-01-17,Callum Reid,Priya Raman,Nordics,Account 064 Holdings,United Kingdom,Cancom,Existing Business - Renewal,7 - Closed Won,127000,2026-08-04
DR-1235,2024-12-13,Marco Ferrari,Paulo Neves,Southern Europe,Account 035 Ltd,Greece,Softcat,New Business,7 - Closed Won,117000,2025-06-13
DR-1115,2024-10-05,Marco Ferrari,Paulo Neves,Iberia,Account 315 Ltd,Greece,SHI EMEA,New Business,0 - Closed Lost,"$20,000",2024-11-11
DR-1882,2025-10-25,Erik Lindqvist,Dan Eriksen,UKI & Nordics,Account 282 Ltd,Norway,Arrow ECS,New Business,Rejected - Duplicate,"EUR 118,000.00",2025-12-31
DR-1270,2025-01-18,Tom Whitfield,Mollie Shaw,UKI/Nordics,Account 070 Ltd,Denmark,Computacenter,New Business,Expired,206000,2025-06-30
DR-1148,2024-10-07,Jonas Richter,Tobias Frank,EMEA - DACH - Enterprise,Account 348 SAS,Austria,Cancom,New Business,7 - Closed Won,"EUR 207,000.00",2025-03-01
DR-1436,2025-03-28,Sofia Almeida,,SEMEA,Account 236 AB,Italy,Bechtle AG,Add-On,0 - Closed Lost,"EUR 214,000.00",2025-04-24
DR-1023,02/09/2024,Tom Whitfield,Priya Raman,UKI & Nordics,Account 223 SAS,United Kingdom,Econocom,New Business,7 - Closed Won,99000,2024-12-11
DR-1193,2024-11-23,Stefan Huber,Tobias Frank,dach pod,Account 393 GmbH,Austria,TD Synnex,Upsell,7 - Closed Won,"$167,000",2025-01-31
DR-1413,2025-03-09,Aoife Brennan,Mollie Shaw,UKI/Nordics,Account 213 Group,Sweden,Bechtle AG,New Business,0 - Closed Lost,"$124,000",2025-08-18
DR-2599,2026-08-22,Lukas Brandt,Tobias Frank,DACH,Account 199 Group,Austria,Cancom,New Logo,4 - Technical Validation,"EUR 91,000.00",2026-10-30
DR-1134,2024-10-27,Katharina Vogel,Tobias Frank,dach pod,Account 334 GmbH,Switzerland,Softcat,New Business,7 - Closed Won,"EUR 111,000.00",2025-03-11
DR-1707,26 Jul 2025,Niamh O'Connor,,Nordics,Account 107 Group,Finland,Ingram Micro,New Business,5 - Proposal,"$66,000",2025-09-24
DR-2614,2025-06-23,Deal Reg Queue,,UKI & Nordics,Queued Account 000,Germany,Bechtle AG,New Business,1 - Submitted,,
DR-2458,20/06/2026,Erik Lindqvist,Mollie Shaw,Nordics,Account 058 Group,United Kingdom,Bechtle AG,Competitive Migration,6 - Negotiation,,2026-07-25
DR-1216,2024-12-12,Tom Whitfield,Priya Raman,UKI & Nordics,Account 016 Holdings,Sweden,Northbridge Data,New Business,7 - Closed Won,231000,2025-03-29
DR-1597,2025-05-03,Julien Marchand,,SEMEA,Account 397 SAS,Israel,Econocom,Existing Business - Add-On,7 - Closed Won,"$119,000",2025-10-25
DR-2480,15/06/2026,Sofia Almeida,Paulo Neves,Southern Europe,Account 080 GmbH,Greece,Econocom,Upsell,0 - Closed Lost,"EUR 207,000.00",2026-12-03
DR-1807,2025-09-18,Callum Reid,Dan Eriksen,EMEA - Other,Account 207 AB,Norway,Arrow ECS,Upsell,0 - Closed Lost,"EUR 114,000.00",2025-11-21
DR-2052,27 Dec 2025,Katharina Vogel,Lena Wirth,dach pod,Account 052 AB,Germany,Northbridge Data,New Logo,0 - Closed Lost,"EUR 191,000.00",2026-04-27
DR-1842,2025-09-16,Yannis Papadakis,Paulo Neves,EMEA - Southern Europe,Account 242 Group,Italy,Northbridge Data,New Business,1 - Submitted,"EUR 200,000.00",2025-12-17
DR-1074,24/09/2024,Nadia Keller,,,Account 274 Holdings,Austria,Computacenter,New Business,0 - Closed Lost,"EUR 232,000.00",2024-11-22
DR-2281,2026-03-03,Lukas Brandt,Tobias Frank,dach pod,Account 281 Holdings,Switzerland,Northbridge Data,New Logo,6 - Negotiation,"EUR 48,000.00",2026-08-26
DR-2279,2026-03-03,Lukas Brandt,,dach pod,Account 279 SAS,Switzerland,Northbridge Data,New Logo,5 - Proposal,"$158,000",2026-04-14
DR-1594,2025-05-09,Julien Marchand,Paulo Neves,Iberia,Account 394 SpA,Israel,Softcat,New Business,Rejected - Duplicate,"$75,000",2025-07-25
DR-1260,2025-01-03,Aoife Brennan,Mollie Shaw,EMEA - Other,Account 060 Group,Ireland,TD Synnex,Renewal,7 - Closed Won,"$207,000",2025-02-08
DR-2069,2026-01-01,Aoife Brennan,,EMEA - UKI & Nordics - Commercial,Account 069 AB,United Kingdom,Arrow ECS,Existing Business - Renewal,2 - Approved,"EUR 48,000.00",2026-02-22
DR-1304,2025-01-21,Julien Marchand,Chiara Bruno,Iberia,Account 104 AB,Spain,Arrow ECS,New Business,7 - Closed Won,185000,2025-06-01
DR-1133,2024-10-16,Katharina Vogel,,dach pod,Account 333 AB,Austria,TD Synnex,Renewal,0 - Closed Lost,"EUR 79,000.00",2025-02-23
DR-2495,28/06/2026,Julien Marchand,Paulo Neves,Southern Europe,Account 095 GmbH,Italy,Northbridge Data,Renewal,6 - Negotiation,"EUR 52,000.00",2026-11-05
DR-1910,2025-10-09,Marco Ferrari,Chiara Bruno,Iberia,Account 310 SpA,Italy,Ingram Micro,Renewal,4 - Technical Validation,"EUR 55,000.00",2025-11-07
DR-1111,2024-10-02,Yannis Papadakis,,Iberia,Account 311 Holdings,Greece,Softcat,Existing Business - Renewal,0 - Closed Lost,45000,2024-10-30
DR-1716,16 Jul 2025,Callum Reid,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 116 SpA,Denmark,TD Synnex,Add-On,7 - Closed Won,"EUR 21,000.00",2025-09-21
DR-2490,28/06/2026,Sofia Almeida,,EMEA - Southern Europe,Account 090 Group,Italy,Softcat,Existing Business - Renewal,3 - Discovery,"EUR 29,000.00",2027-01-04
DR-2008,21 Dec 2025,Tom Whitfield,,UKI & Nordics,Account 008 SpA,Ireland,Cancom,New Logo,3 - Discovery,216000,2026-03-02
DR-2270,2026-03-02,Lukas Brandt,Tobias Frank,EMEA - Other,Account 270 AB,Germany,Arrow ECS,New Logo,Rejected - Duplicate,95000,2026-04-26
DR-2567,2026-07-05,Katharina Vogel,Lena Wirth,DACH,Account 167 Ltd,Switzerland,Arrow ECS,New Logo,0 - Closed Lost,"EUR 145,000.00",2026-09-09
DR-1088,2024-10-23,Niamh O'Connor,Priya Raman,,Account 288 GmbH,Norway,Northbridge Data,Existing Business - Add-On,7 - Closed Won,"EUR 215,000.00",2025-03-22
DR-2630,2025-06-22,Deal Reg Queue,,UKI & Nordics,Queued Account 016,Germany,Bechtle AG,New Business,1 - Submitted,,
DR-1596,2025-05-05,Yannis Papadakis,Chiara Bruno,EMEA - Southern Europe,Account 396 SAS,Portugal,Northbridge Data,New Business,7 - Closed Won,"$126,000",2025-06-20
DR-2019,19 Dec 2025,Tom Whitfield,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 019 GmbH,Norway,Cancom,New Logo,0 - Closed Lost,171000,2026-05-21
DR-1991,24/11/2025,Lukas Brandt,Lena Wirth,EMEA - DACH - Enterprise,Account 391 AB,Austria,TD Synnex,Existing Business - Renewal,Rejected - Duplicate,190000,2026-05-15
DR-1518,05/04/2025,Marco Ferrari,Paulo Neves,SEMEA,Account 318 SpA,Greece,Cancom,New Business,7 - Closed Won,157000,2025-10-20
DR-2135,2026-02-25,Callum Reid,Dan Eriksen,Nordics,Account 135 Group,Ireland,Arrow ECS,Add-On,1 - Submitted,"EUR 84,000.00",2026-06-26
DR-2171,2026-02-11,Katharina Vogel,Lena Wirth,DACH,Account 171 SpA,Germany,Ingram Micro,New Logo,2 - Approved,"$220,000",2026-03-13
DR-1365,02 Feb 2025,Marco Ferrari,,EMEA - Southern Europe,Account 165 Ltd,Italy,TD Synnex,New Business,Expired,"$173,000",2025-08-11
DR-2373,03 May 2026,Tom Whitfield,,EMEA - Other,Account 373 Ltd,Ireland,SHI EMEA,Migration,4 - Technical Validation,"$156,000",2026-10-10
DR-2035,22 Dec 2025,Elena Castells,Chiara Bruno,Southern Europe,Account 035 Holdings,Israel,Bechtle AG,Migration,4 - Technical Validation,83000,2026-03-17
DR-2285,2026-04-18,Erik Lindqvist,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 285 GmbH,Denmark,Northbridge Data,Upsell,0 - Closed Lost,226000,2026-05-15
DR-2156,2026-02-19,Yannis Papadakis,,Iberia,Account 156 GmbH,Israel,Bechtle AG,Existing Business - Add-On,2 - Approved,"$115,000",2026-06-14
DR-2139,2026-02-04,Aoife Brennan,,UKI & Nordics,Account 139 Holdings,Ireland,SHI EMEA,Renewal,5 - Proposal,186000,2026-06-15
DR-1081,05/09/2024,Lukas Brandt,,DACH,Account 281 SAS,Germany,SHI EMEA,Competitive Migration,0 - Closed Lost,"$31,000",2024-11-22
DR-1852,2025-09-15,Lukas Brandt,Tobias Frank,dach pod,Account 252 SpA,Germany,Bechtle AG,Add-On,5 - Proposal,"EUR 95,000.00",2025-12-25
DR-1370,18 Feb 2025,Elena Castells,Chiara Bruno,SEMEA,Account 170 Group,Spain,Arrow ECS,New Business,Rejected - Duplicate,"$186,000",2025-05-29
DR-1870,2025-09-22,Katharina Vogel,Lena Wirth,DACH,Account 270 GmbH,Austria,Ingram Micro,Upsell,0 - Closed Lost,"EUR 240,000.00",2025-12-05
DR-1993,05/11/2025,Lukas Brandt,Tobias Frank,EMEA - DACH - Enterprise,Account 393 GmbH,Germany,Softcat,Add-On,4 - Technical Validation,24000,2025-12-29
